mechanism_name,strategy_name,domain_name,n_outcomes,opposition,max_welfare,time,full_time,run_time,succeeded,agreement_utils,welfare,relative_welfare,pdist,ndist,time_limit,n_rounds,nash_welfare,relative_nash_welfare,reserved0,reserved1,reserved,steps,failed
AOr,NiceTitForTat,0000003NiceOrDie,3,0.84,1.16,4.842993460595608,4.844533883035183,3.98899208009243,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,NiceTitForTat,0000003NiceOrDie,3,0.84,1.16,4.975414462387562,4.977140475064516,4.151790257543325,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,NiceTitForTat,0000003NiceOrDie,3,0.84,1.16,4.957856234163046,4.959324147552252,4.107765387743712,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,HardHeaded,0000003NiceOrDie,3,0.84,1.16,5.420214466750622,5.420602411031723,4.589055806398392,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,Caduceus,0000003NiceOrDie,3,0.84,1.16,5.464980658143759,5.466739613562822,4.7379275523126125,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,CUHKAgent,0000003NiceOrDie,3,0.84,1.16,5.364785570651293,5.366398938000202,4.629186481237412,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,Caduceus,0000003NiceOrDie,3,0.84,1.16,5.8530672043561935,5.854599069803953,5.033874563872814,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,Caduceus,0000003NiceOrDie,3,0.84,1.16,6.0519159361720085,6.053443506360054,5.277236562222242,False,"(0.0, 0.0)",0.0,0.0,0.4228498551495554,1.012719112093773,180,6,1.16,0.0,0.0,0.0,"(0.0, 0.0)",6,False
AOr,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.137815289199352,4.138073734939098,3.935001067817211,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",8,False
AOr,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.21623631939292,4.216558400541544,4.023966740816832,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",8,False
