mechanism_name,strategy_name,domain_name,n_outcomes,opposition,max_welfare,time,full_time,run_time,succeeded,agreement_utils,welfare,relative_welfare,pdist,ndist,time_limit,n_rounds,nash_welfare,relative_nash_welfare,reserved0,reserved1,reserved,steps,failed
TAU0,SCSNegotiator,0000384AcquisitionA,384,0.1169711731681046,1.837430675423097,0.0392558090388774,0.0409237742424011,0.036872498691082,True,"(0.9035532994923858, 0.9195171026156942)",1.82307040210808,0.9921845904136164,0.0,0.0344487990043344,180,768,1.837430675423097,0.9921845904136164,0.0,0.1,"(0.0, 0.1)",49,False
TAU0,SCSNegotiator,0000384AcquisitionA,384,0.1169711731681046,1.837430675423097,0.0336380675435066,0.0347581878304481,0.0321006067097187,True,"(0.9035532994923858, 0.9195171026156942)",1.82307040210808,0.9921845904136164,0.0,0.0344487990043344,180,768,1.837430675423097,0.9921845904136164,0.0,0.5,"(0.0, 0.5)",48,False
TAU0,SCSNegotiator,0000270DogChoosing,270,0.0384713372401903,1.9509233999615767,0.0134770832955837,0.0165525861084461,0.0088370405137538,True,"(0.9872045159416803, 0.9637188840198965)",1.9509233999615767,1.0,0.0,0.0,180,540,1.9509233999615767,1.0,0.0,0.5,"(0.0, 0.5)",17,False
TAUinf,SCSNegotiator,0012000SmartPhone,12000,0.1404570392771434,1.802489173657445,0.2131358012557029,0.2148888222873211,0.2108196727931499,True,"(0.9118019686358197, 0.8906872050216256)",1.802489173657445,1.0,0.0,0.0,180,24000,1.802489173657445,1.0,0.0,0.1,"(0.0, 0.1)",37,False
TAUinf,SCSNegotiator,0000027Laptop,27,0.1780027878321504,1.7533005459252924,0.0039418935775756,0.0049280859529972,0.0027008950710296,True,"(0.851603495169503, 0.9016970507557895)",1.7533005459252924,1.0,0.0,0.0,180,54,1.7533005459252924,1.0,0.0,0.5,"(0.0, 0.5)",5,False
TAUinf,SCSNegotiator,0000128Outfit,128,0.1908420152536551,1.7412747453739883,0.0056565701961517,0.0059422142803668,0.0051230676472187,True,"(0.8322232080115186, 0.9090515373624699)",1.7412747453739883,1.0,0.0,0.0,180,256,1.7412747453739883,1.0,0.0,0.5,"(0.0, 0.5)",14,False
TAU0,SCSNegotiator,0000112Coffee,112,0.4473100412925149,1.4834004808300816,0.019880186766386,0.0211196318268775,0.0182771012187004,True,"(0.6428012879239432, 0.6709998115336706)",1.313801099457614,0.885668513955474,0.0,0.3028589696530546,180,224,1.4834004808300816,0.885668513955474,0.0,0.1,"(0.0, 0.1)",33,False
TAU0,SCSNegotiator,0000112Coffee,112,0.4473100412925149,1.4834004808300816,0.019348032772541,0.0197665989398956,0.0185587666928768,True,"(0.6428012879239432, 0.6709998115336706)",1.313801099457614,0.885668513955474,0.0,0.3028589696530546,180,224,1.4834004808300816,0.885668513955474,0.0,0.1,"(0.0, 0.1)",33,False
TAU0,SCSNegotiator,0012000SmartPhone,12000,0.1404570392771434,1.802489173657445,0.2077610157430172,0.2082888558506965,0.2068224586546421,True,"(0.9118019686358197, 0.8906872050216256)",1.802489173657445,1.0,0.0,0.0,180,24000,1.802489173657445,1.0,0.0,0.5,"(0.0, 0.5)",37,False
TAUinf,SCSNegotiator,0000720Icecream,720,0.0801987955376799,1.9086710833217,0.0376253724098205,0.0380608923733234,0.0368516817688941,True,"(0.9228103249557235, 0.9250930106893124)",1.847903335645036,0.9681622736323384,0.0,0.0629032023688737,180,1440,1.9086710833217,0.9681622736323384,0.0,0.9,"(0.0, 0.9)",44,False
